,town,year,tenant_rental_assistance,total_assisted_units
643,Suffield,2013,0,297.0
644,Thomaston,2013,4,226.0
645,Thompson,2013,13,323.0
646,Tolland,2013,1,211.0
647,Torrington,2013,355,2123.0
648,Trumbull,2013,12,677.0
649,Union,2013,0,16.0
650,Vernon,2013,533,2306.0
651,Voluntown,2013,2,53.0
652,Wallingford,2013,140,967.0
653,Warren,2013,0,8.0
654,Washington,2013,0,38.0
655,Waterbury,2013,3635,11189.0
656,Waterford,2013,17,390.0
657,Watertown,2013,24,375.0
658,Westbrook,2013,8,187.0
659,West Hartford,2013,943,2136.0
660,West Haven,2013,1613,3066.0
661,Weston,2013,1,1.0
662,Westport,2013,20,286.0
663,Wethersfield,2013,127,983.0
664,Willington,2013,2,212.0
665,Wilton,2013,5,247.0
666,Winchester,2013,269,735.0
667,Windham,2013,533,2775.0
668,Windsor,2013,282,861.0
669,Windsor Locks,2013,178,502.0
670,Wolcott,2013,3,446.0
671,Woodbridge,2013,3,39.0
672,Woodbury,2013,4,89.0
673,Woodstock,2013,3,114.0
674,Andover,2012,1,47.0
675,Ansonia,2012,699,1186.0
676,Ashford,2012,2,71.0
677,Avon,2012,7,270.0
678,Barkhamsted,2012,1,13.0
679,Beacon Falls,2012,5,31.0
680,Berlin,2012,29,585.0
681,Bethany,2012,0,2.0
682,Bethel,2012,10,380.0
683,Bethlehem,2012,1,25.0
684,Bloomfield,2012,147,1026.0
685,Bolton,2012,3,19.0
686,Bozrah,2012,4,23.0
687,Branford,2012,50,456.0
688,Bridgeport,2012,3498,10086.0
689,Bridgewater,2012,0,2.0
690,Bristol,2012,793,3578.0
691,Brookfield,2012,7,139.0
692,Brooklyn,2012,11,324.0
693,Burlington,2012,0,57.0
694,Canaan,2012,0,35.0
695,Canterbury,2012,1,117.0
696,Canton,2012,19,317.0
697,Chaplin,2012,0,24.0
698,Cheshire,2012,7,331.0
699,Chester,2012,2,35.0
700,Clinton,2012,5,132.0
701,Colchester,2012,31,488.0
702,Colebrook,2012,0,8.0
703,Columbia,2012,2,69.0
704,Cornwall,2012,0,20.0
705,Coventry,2012,1,261.0
706,Cromwell,2012,6,417.0
707,Danbury,2012,1181,3274.0
708,Darien,2012,6,183.0
709,Deep River,2012,5,54.0
710,Derby,2012,307,629.0
711,Durham,2012,1,47.0
712,East Granby,2012,4,108.0
713,East Haddam,2012,0,104.0
714,East Hampton,2012,5,176.0
715,East Hartford,2012,1024,3509.0
716,East Haven,2012,128,843.0
717,East Lyme,2012,8,449.0
718,East Windsor,2012,49,721.0
719,Eastford,2012,0,19.0
720,Easton,2012,0,11.0
721,Ellington,2012,8,351.0
722,Enfield,2012,215,2108.0
723,Essex,2012,6,51.0
724,Fairfield,2012,181,567.0
725,Farmington,2012,110,838.0
726,Franklin,2012,1,17.0
727,Glastonbury,2012,47,753.0
728,Goshen,2012,0,6.0
729,Granby,2012,2,134.0
730,Greenwich,2012,421,1314.0
731,Griswold,2012,41,336.0
732,Groton,2012,52,3666.0
733,Guilford,2012,6,203.0
734,Haddam,2012,1,38.0
735,Hamden,2012,523,1659.0
736,Hampton,2012,0,18.0
737,Hartford,2012,8390,19245.0
738,Hartland,2012,0,8.0
